step,train_loss,val_loss
0,8.207795143127441,8.200084686279297
200,5.620915412902832,5.708901405334473
400,5.189671039581299,5.304721832275391
600,4.895216941833496,5.03676700592041
800,4.677107334136963,4.827482223510742
1000,4.487903594970703,4.656550407409668
1200,4.287476062774658,4.457772731781006
1400,4.066439628601074,4.24256706237793
1600,3.8710639476776123,4.056151866912842
1800,3.7102930545806885,3.9027411937713623
2000,3.5842859745025635,3.7888741493225098
2200,3.4673593044281006,3.6957263946533203
2400,3.369412899017334,3.6119396686553955
2600,3.308789014816284,3.563035249710083
2800,3.235776424407959,3.5087552070617676
3000,3.167724847793579,3.4645025730133057
3200,3.1081888675689697,3.425027847290039
3400,3.038612127304077,3.3870456218719482
3600,3.0031075477600098,3.351661443710327
3800,2.9602162837982178,3.321061372756958
4000,2.893975257873535,3.28715181350708
4200,2.8561716079711914,3.251007080078125
4400,2.820847272872925,3.2269253730773926
4600,2.798577308654785,3.2158803939819336
4800,2.7413408756256104,3.186903715133667
5000,2.686147689819336,3.156822919845581
5200,2.668522834777832,3.1383321285247803
5400,2.6700897216796875,3.119846820831299
5600,2.6068265438079834,3.0930445194244385
5800,2.5783743858337402,3.0876951217651367
6000,2.567718505859375,3.0683460235595703
6200,2.554212808609009,3.0531680583953857
6400,2.516343355178833,3.0277819633483887
6600,2.4938066005706787,3.0112907886505127
6800,2.476667881011963,3.0004401206970215
7000,2.4814751148223877,2.9891345500946045
7200,2.4611194133758545,2.970360040664673
7400,2.4311275482177734,2.9711248874664307
7600,2.4118943214416504,2.9387781620025635
7800,2.4031341075897217,2.937596082687378
8000,2.386690139770508,2.9230403900146484
8200,2.3954243659973145,2.9251291751861572
8400,2.351912498474121,2.910092830657959
8600,2.356524705886841,2.9036149978637695
8800,2.3424885272979736,2.8973302841186523
9000,2.3335046768188477,2.8797447681427
9200,2.310497760772705,2.8666083812713623
9400,2.305508852005005,2.8612301349639893
9600,2.288348913192749,2.855733633041382
9800,2.2932016849517822,2.848858594894409
10000,2.2705371379852295,2.8319051265716553
10200,2.2837774753570557,2.835131883621216
10400,2.2691054344177246,2.8225090503692627
10600,2.252380609512329,2.823256492614746
10800,2.245579481124878,2.817706346511841
11000,2.2469186782836914,2.7969624996185303
11200,2.2175474166870117,2.7918288707733154
11400,2.2250711917877197,2.791198968887329
11600,2.2151601314544678,2.7838246822357178
11800,2.234553098678589,2.7856054306030273
12000,2.20119047164917,2.7753288745880127
12200,2.197230815887451,2.759542942047119
12400,2.1859803199768066,2.766242742538452
12600,2.179347276687622,2.7638661861419678
12800,2.1723368167877197,2.7528464794158936
13000,2.1727025508880615,2.753263473510742
13200,2.1857757568359375,2.7527387142181396
13400,2.1594181060791016,2.7387964725494385
13600,2.1521263122558594,2.7386410236358643
13800,2.1382601261138916,2.7257204055786133
14000,2.1388790607452393,2.7284557819366455
14200,2.145683526992798,2.719618558883667
14400,2.1398656368255615,2.723536968231201
14600,2.12247633934021,2.7086706161499023
14800,2.1454622745513916,2.711167573928833
15000,2.1237008571624756,2.7099921703338623
15200,2.1253914833068848,2.709249973297119
15400,2.109808921813965,2.697715997695923
15600,2.109036922454834,2.6960859298706055
15800,2.0921928882598877,2.698301315307617
16000,2.1090264320373535,2.6966540813446045
16200,2.1017231941223145,2.7058496475219727
16400,2.0854053497314453,2.687596321105957
16600,2.109374761581421,2.687682867050171
16800,2.0877466201782227,2.685098886489868
17000,2.087883949279785,2.6793017387390137
17200,2.092742443084717,2.6791512966156006
17400,2.078974723815918,2.6824541091918945
17600,2.066701650619507,2.675896644592285
17800,2.0642831325531006,2.6713297367095947
18000,2.0632164478302,2.6777093410491943
18200,2.0459847450256348,2.664695978164673
18400,2.067841053009033,2.665828227996826
18600,2.060638904571533,2.6618738174438477
18800,2.053725242614746,2.6667253971099854
19000,2.0627732276916504,2.658311367034912
19200,2.054131031036377,2.657738447189331
19400,2.0842337608337402,2.6537833213806152
19600,2.074862480163574,2.6731228828430176
19800,2.0472939014434814,2.6564972400665283
20000,2.0472660064697266,2.65067982673645
20200,2.0492119789123535,2.6439764499664307
20400,2.036172389984131,2.645761013031006
20600,2.0388755798339844,2.6512300968170166
20800,2.0419082641601562,2.6553335189819336
21000,2.0386366844177246,2.651977300643921
21200,2.037247896194458,2.647231340408325
21400,2.0335323810577393,2.6461713314056396
21600,2.0399255752563477,2.6500933170318604
21800,2.0249907970428467,2.644150733947754
22000,2.022282838821411,2.641124963760376
22200,2.0365676879882812,2.6415317058563232
22400,2.029620409011841,2.643897771835327
22600,2.0353286266326904,2.6361353397369385
22800,2.0320024490356445,2.647534132003784
23000,2.012589931488037,2.6372742652893066
23200,2.0279414653778076,2.6347267627716064
23400,2.0263397693634033,2.631783962249756
23600,2.029181957244873,2.62557315826416
23800,2.023599147796631,2.63510799407959
24000,2.024329900741577,2.628751516342163
24200,2.017517328262329,2.636467695236206
24400,2.0127875804901123,2.6343085765838623
24600,2.0154213905334473,2.6281304359436035
24800,2.0071768760681152,2.628436803817749
24999,2.0197813510894775,2.625779390335083
