step,train_loss,val_loss
0,10.653728485107422,10.647134780883789
200,4.055330276489258,4.20935583114624
400,3.910438299179077,4.08194637298584
600,3.831982374191284,4.019888401031494
800,3.7012698650360107,3.927180767059326
1000,3.6125543117523193,3.854434013366699
1200,3.4871466159820557,3.7825982570648193
1400,3.4208319187164307,3.721405267715454
1600,3.3335187435150146,3.6849350929260254
1800,3.2713241577148438,3.6389331817626953
2000,3.2166738510131836,3.629765510559082
2200,3.169342041015625,3.5696969032287598
2400,3.0933849811553955,3.5435783863067627
2600,3.0592522621154785,3.520803928375244
2800,3.028909206390381,3.5010170936584473
3000,3.0010221004486084,3.4842398166656494
3200,2.9702680110931396,3.4652864933013916
3400,2.913320302963257,3.450327157974243
3600,2.8957929611206055,3.435662031173706
3800,2.8593595027923584,3.421701669692993
4000,2.826831579208374,3.3920493125915527
4200,2.8099770545959473,3.3816614151000977
4400,2.7750165462493896,3.3823580741882324
4600,2.7595632076263428,3.3646047115325928
4800,2.743976354598999,3.3359291553497314
5000,2.7272253036499023,3.343789577484131
5200,2.6963884830474854,3.336827039718628
5400,2.6710104942321777,3.3119401931762695
5600,2.6573843955993652,3.3137176036834717
5800,2.6267125606536865,3.303863525390625
6000,2.621238946914673,3.2960004806518555
6200,2.6039679050445557,3.2865471839904785
6400,2.5832369327545166,3.2724456787109375
6600,2.5717458724975586,3.264681816101074
6800,2.5632214546203613,3.2553317546844482
7000,2.538973808288574,3.2486298084259033
7200,2.5231704711914062,3.243316888809204
7400,2.5159974098205566,3.252901077270508
7600,2.503615617752075,3.2172582149505615
7800,2.4813103675842285,3.2203989028930664
8000,2.4646553993225098,3.2244713306427
8200,2.4435830116271973,3.210196018218994
8400,2.460434913635254,3.214799404144287
8600,2.4462692737579346,3.201389789581299
8800,2.4199206829071045,3.20723295211792
9000,2.4248604774475098,3.196962356567383
9200,2.394413709640503,3.196552038192749
9400,2.3956520557403564,3.1876304149627686
9600,2.394232749938965,3.1886086463928223
9800,2.365858793258667,3.1831727027893066
10000,2.3664236068725586,3.1771655082702637
10200,2.3503475189208984,3.174792766571045
10400,2.3399133682250977,3.1820573806762695
10600,2.343416690826416,3.1697874069213867
10800,2.3184664249420166,3.162835121154785
11000,2.3244338035583496,3.165074348449707
11200,2.3155994415283203,3.161179780960083
11400,2.3159546852111816,3.1556284427642822
11600,2.2983710765838623,3.1464552879333496
11800,2.2786760330200195,3.1627585887908936
12000,2.2758913040161133,3.1587860584259033
12200,2.2704057693481445,3.1469180583953857
12400,2.2615528106689453,3.1441280841827393
12600,2.256054639816284,3.140514612197876
12800,2.2338736057281494,3.1389942169189453
13000,2.259368658065796,3.1522159576416016
13200,2.228445053100586,3.128807306289673
13400,2.2402384281158447,3.1380650997161865
13600,2.22012996673584,3.134103298187256
13800,2.217568874359131,3.1412160396575928
14000,2.211050510406494,3.126843214035034
14200,2.21708345413208,3.1296048164367676
14400,2.2104086875915527,3.1264455318450928
14600,2.1932997703552246,3.1237616539001465
14800,2.2070884704589844,3.131580114364624
15000,2.1926076412200928,3.1327197551727295
15200,2.176950216293335,3.1278443336486816
15400,2.169809103012085,3.117858648300171
15600,2.175339460372925,3.1234960556030273
15800,2.1733429431915283,3.1302990913391113
16000,2.174208879470825,3.122673988342285
16200,2.1780006885528564,3.127298355102539
16400,2.155125856399536,3.1193814277648926
16600,2.1469480991363525,3.1141107082366943
16800,2.1541502475738525,3.1189277172088623
17000,2.134174108505249,3.12034273147583
17200,2.1395556926727295,3.136758327484131
17400,2.1513683795928955,3.125410556793213
17600,2.1405532360076904,3.118328809738159
17800,2.1464998722076416,3.104207754135132
18000,2.1179769039154053,3.118464708328247
18200,2.1248700618743896,3.1220529079437256
18400,2.123326301574707,3.116048574447632
18600,2.11887526512146,3.105057716369629
18800,2.120800733566284,3.111680507659912
19000,2.1111841201782227,3.109947443008423
19200,2.109668731689453,3.11490535736084
19400,2.111656904220581,3.1189513206481934
19600,2.101727247238159,3.1119163036346436
19800,2.102612018585205,3.103756904602051
20000,2.1009676456451416,3.1004016399383545
20200,2.0930702686309814,3.108583688735962
20400,2.1007447242736816,3.10432767868042
20600,2.0862367153167725,3.1027493476867676
20800,2.091578722000122,3.1063780784606934
21000,2.0830447673797607,3.1057844161987305
21200,2.078793525695801,3.1133415699005127
21400,2.07871150970459,3.108429193496704
21600,2.070168972015381,3.1091649532318115
21800,2.0930275917053223,3.0951876640319824
22000,2.0781543254852295,3.1124255657196045
22200,2.0788328647613525,3.0956220626831055
22400,2.0926077365875244,3.1018598079681396
22600,2.079002618789673,3.112013578414917
22800,2.085334062576294,3.114375591278076
23000,2.076890230178833,3.1120598316192627
23200,2.0751235485076904,3.113537311553955
23400,2.0780510902404785,3.1145126819610596
23600,2.068782091140747,3.108736515045166
23800,2.080559015274048,3.099616289138794
24000,2.050089120864868,3.094120979309082
24200,2.0657520294189453,3.0983831882476807
24400,2.0724422931671143,3.09535551071167
24600,2.0661466121673584,3.1013236045837402
24800,2.047281265258789,3.0941162109375
24999,2.0608279705047607,3.102536916732788
