step,train_loss,val_loss
0,5.806527137756348,5.801905632019043
200,1.796967625617981,1.831670880317688
400,1.5079160928726196,1.5558581352233887
600,1.3451443910598755,1.3885806798934937
800,1.242443561553955,1.2946795225143433
1000,1.1763572692871094,1.2263339757919312
1200,1.150404691696167,1.1951515674591064
1400,1.1059237718582153,1.1538618803024292
1600,1.0710875988006592,1.122512936592102
1800,1.0474027395248413,1.0970783233642578
2000,1.0135762691497803,1.079436182975769
2200,0.9908616542816162,1.0595142841339111
2400,0.9631519913673401,1.0421086549758911
2600,0.9495941400527954,1.0317970514297485
2800,0.9256335496902466,1.0102968215942383
3000,0.9127546548843384,1.0068415403366089
3200,0.8989101648330688,0.9892380237579346
3400,0.8826223611831665,0.9851362109184265
3600,0.8706005215644836,0.9700424075126648
3800,0.8600091338157654,0.9670688509941101
4000,0.8441535234451294,0.9544739723205566
4200,0.8407478928565979,0.9493895769119263
4400,0.8371714949607849,0.9354610443115234
4600,0.8230335712432861,0.9335203766822815
4800,0.8127864003181458,0.9222309589385986
5000,0.8189589977264404,0.920741856098175
5200,0.8122556805610657,0.9210100769996643
5400,0.7964726090431213,0.9063810706138611
5600,0.8003937005996704,0.9086645245552063
5800,0.7883917093276978,0.8977704048156738
6000,0.7854406833648682,0.8960581421852112
6200,0.7847797870635986,0.89091956615448
6400,0.7777788639068604,0.8859520554542542
6600,0.770280122756958,0.8836898803710938
6800,0.7675942182540894,0.8751090168952942
7000,0.7603040933609009,0.8742218613624573
7200,0.7601197957992554,0.8742008805274963
7400,0.7609067559242249,0.866946816444397
7600,0.7588272094726562,0.8630902767181396
7800,0.7494096159934998,0.8633134365081787
8000,0.749005913734436,0.8583084940910339
8200,0.7497196793556213,0.8571153283119202
8400,0.7425071001052856,0.8569314479827881
8600,0.7426959276199341,0.8490158319473267
8800,0.7361360788345337,0.8495063185691833
9000,0.728461503982544,0.8369258046150208
9200,0.7297709584236145,0.8407968282699585
9400,0.7302510142326355,0.8333107233047485
9600,0.7383215427398682,0.8398263454437256
9800,0.7245696783065796,0.8319195508956909
10000,0.7255518436431885,0.8271448016166687
10200,0.720774233341217,0.8291422128677368
10400,0.7182895541191101,0.8269258141517639
10600,0.7185194492340088,0.8293769955635071
10800,0.7127964496612549,0.8182523250579834
11000,0.7095099687576294,0.8190345764160156
11200,0.7116503715515137,0.8148276805877686
11400,0.7042021155357361,0.8138979077339172
11600,0.7049100995063782,0.814334511756897
11800,0.7002481818199158,0.8131718635559082
12000,0.6960186958312988,0.8058835864067078
12200,0.6982967257499695,0.8083789944648743
12400,0.6935359239578247,0.808489203453064
12600,0.6958302855491638,0.8073610663414001
12800,0.6927469372749329,0.7993128299713135
13000,0.6926580667495728,0.8034753203392029
13200,0.6883562207221985,0.7988921999931335
13400,0.690047025680542,0.8007027506828308
13600,0.6905972361564636,0.7953986525535583
13800,0.6844577193260193,0.7964724898338318
14000,0.6858360171318054,0.795371413230896
14200,0.6858543157577515,0.794563889503479
14400,0.6825136542320251,0.7933682203292847
14600,0.677691638469696,0.7902460694313049
14800,0.6806092858314514,0.7921923995018005
15000,0.6732115745544434,0.7848520874977112
15200,0.6821109056472778,0.7919608950614929
15400,0.6739550828933716,0.7864622473716736
15600,0.6763660311698914,0.7864232659339905
15800,0.6753398180007935,0.780556321144104
16000,0.6721983551979065,0.7879301309585571
16200,0.6697292923927307,0.7805860638618469
16400,0.6669563055038452,0.7810224294662476
16600,0.6676657199859619,0.7786901593208313
16800,0.6631119251251221,0.7811314463615417
17000,0.6694983839988708,0.7729595303535461
17200,0.6566459536552429,0.7741718292236328
17400,0.6650938391685486,0.7754734754562378
17600,0.6595447063446045,0.7753691673278809
17800,0.6611176133155823,0.7716754078865051
18000,0.6599949598312378,0.7735198736190796
18200,0.6602565050125122,0.7740288376808167
18400,0.6640350222587585,0.771035373210907
18600,0.661465585231781,0.7693178653717041
18800,0.6604278087615967,0.768700361251831
19000,0.6606157422065735,0.7725507616996765
19200,0.6557124257087708,0.7629221081733704
19400,0.6559954881668091,0.7654284834861755
19600,0.6573829054832458,0.7655589580535889
19800,0.6565830111503601,0.7640051245689392
20000,0.6545715928077698,0.7669949531555176
20200,0.6525755524635315,0.7656686305999756
20400,0.6496022939682007,0.7631607055664062
20600,0.652758002281189,0.7631410360336304
20800,0.6557769775390625,0.7606168985366821
21000,0.6523596048355103,0.7617120146751404
21200,0.6490972638130188,0.7606170773506165
21400,0.6525110602378845,0.7591535449028015
21600,0.645855188369751,0.7585020661354065
21800,0.650590717792511,0.7581222653388977
22000,0.6490720510482788,0.7563872337341309
22200,0.650428056716919,0.7556295990943909
22400,0.6471858024597168,0.7598812580108643
22600,0.647361159324646,0.7579492926597595
22800,0.6467775702476501,0.7579940557479858
23000,0.6419541239738464,0.7540042996406555
23200,0.6459671854972839,0.7570537328720093
23400,0.643784761428833,0.7571738958358765
23600,0.6422122716903687,0.7533364295959473
23800,0.6415484547615051,0.7565351128578186
24000,0.6445176005363464,0.7576835751533508
24200,0.6460957527160645,0.7540971636772156
24400,0.6452832818031311,0.7545915246009827
24600,0.6440648436546326,0.75275057554245
24800,0.6388413906097412,0.7547392249107361
24999,0.6411964297294617,0.7529579401016235
